t(s), a, T (MeV), Tnu (MeV), photons, baryons, rho_{{nu}_{vs}}, drho_{{nu}_{vs}}, phi (GeV^4), rho_vs(MeV^4), sigma_rad (MeV^4), Y(n), Y(p), Y(2H), Y(3H), Y(3He), Y(4He), Y(6Li), Y(7Li), Y(7Be), eta
9.22037e-04,9.12270e-11,1.30714e+01,1.30351e+01,1.92084e-08,1.38213e-15,4.98797e-08,1.53026e-05,0.00000e+00,2.04896e+04,3.36464e-17,4.75256e-01,5.24744e-01,1.60507e-11,1.00000e-30,1.00000e-30,1.00000e-30,1.00000e-30,1.00000e-30,1.00000e-30,2.72742e-09
1.00318e-03,9.21535e-11,1.29426e+01,1.29033e+01,1.84627e-08,1.34065e-15,4.78940e-08,1.48427e-05,0.00000e+00,1.98220e+04,3.28632e-17,4.75009e-01,5.24991e-01,1.63206e-11,1.00000e-30,1.00000e-30,1.00000e-30,1.00000e-30,1.00000e-30,1.00000e-30,2.72531e-09
1.08596e-03,9.30901e-11,1.28151e+01,1.27728e+01,1.77460e-08,1.30039e-15,4.59860e-08,1.43978e-05,0.00000e+00,1.91749e+04,3.20957e-17,4.74758e-01,5.25242e-01,1.65953e-11,1.00000e-30,1.00000e-30,1.00000e-30,1.00000e-30,1.00000e-30,1.00000e-30,2.72314e-09
1.17044e-03,9.40369e-11,1.26889e+01,1.26436e+01,1.70571e-08,1.26132e-15,4.41529e-08,1.39646e-05,0.00000e+00,1.85474e+04,3.13436e-17,4.74505e-01,5.25495e-01,1.68749e-11,1.00000e-30,1.00000e-30,1.00000e-30,1.00000e-30,1.00000e-30,1.00000e-30,2.72092e-09
1.25664e-03,9.49940e-11,1.25639e+01,1.25155e+01,1.63950e-08,1.22339e-15,4.23917e-08,1.35447e-05,0.00000e+00,1.79391e+04,3.06066e-17,4.74250e-01,5.25750e-01,1.71594e-11,1.00000e-30,1.00000e-30,1.00000e-30,1.00000e-30,1.00000e-30,1.00000e-30,2.71864e-09
1.34459e-03,9.59614e-11,1.24402e+01,1.23887e+01,1.57585e-08,1.18657e-15,4.06994e-08,1.31375e-05,0.00000e+00,1.73493e+04,2.98844e-17,4.73992e-01,5.26008e-01,1.74489e-11,1.00000e-30,1.00000e-30,1.00000e-30,1.00000e-30,1.00000e-30,1.00000e-30,2.71631e-09
1.43435e-03,9.69395e-11,1.23177e+01,1.22630e+01,1.51468e-08,1.15084e-15,3.90737e-08,1.27407e-05,0.00000e+00,1.67776e+04,2.91767e-17,4.73732e-01,5.26268e-01,1.77435e-11,1.00000e-30,1.00000e-30,1.00000e-30,1.00000e-30,1.00000e-30,1.00000e-30,2.71391e-09
1.52594e-03,9.79282e-11,1.21963e+01,1.21385e+01,1.45589e-08,1.11616e-15,3.75117e-08,1.23577e-05,0.00000e+00,1.62234e+04,2.84833e-17,4.73469e-01,5.26531e-01,1.80434e-11,1.00000e-30,1.00000e-30,1.00000e-30,1.00000e-30,1.00000e-30,1.00000e-30,2.71145e-09
1.61941e-03,9.89278e-11,1.20762e+01,1.20152e+01,1.39937e-08,1.08250e-15,3.60110e-08,1.19847e-05,0.00000e+00,1.56861e+04,2.78039e-17,4.73203e-01,5.26797e-01,1.83486e-11,1.00000e-30,1.00000e-30,1.00000e-30,1.00000e-30,1.00000e-30,1.00000e-30,2.70894e-09
1.71479e-03,9.99384e-11,1.19573e+01,1.18931e+01,1.34505e-08,1.04983e-15,3.45693e-08,1.16226e-05,0.00000e+00,1.51653e+04,2.71382e-17,4.72935e-01,5.27065e-01,1.86592e-11,1.00000e-30,1.00000e-30,1.00000e-30,1.00000e-30,1.00000e-30,1.00000e-30,2.70635e-09
1.81214e-03,1.00960e-10,1.18395e+01,1.17721e+01,1.29285e-08,1.01812e-15,3.31842e-08,1.12709e-05,0.00000e+00,1.46606e+04,2.64860e-17,4.72664e-01,5.27336e-01,1.89754e-11,1.00000e-30,1.00000e-30,1.00000e-30,1.00000e-30,1.00000e-30,1.00000e-30,2.70371e-09
1.91149e-03,1.01993e-10,1.17229e+01,1.16522e+01,1.24266e-08,9.87343e-16,3.18535e-08,1.09313e-05,0.00000e+00,1.41713e+04,2.58469e-17,4.72391e-01,5.27609e-01,1.92972e-11,1.00000e-30,1.00000e-30,1.00000e-30,1.00000e-30,1.00000e-30,1.00000e-30,2.70099e-09
2.01288e-03,1.03038e-10,1.16075e+01,1.15334e+01,1.19443e-08,9.57472e-16,3.05752e-08,1.06004e-05,0.00000e+00,1.36971e+04,2.52208e-17,4.72115e-01,5.27885e-01,1.96247e-11,1.00000e-30,1.00000e-30,1.00000e-30,1.00000e-30,1.00000e-30,1.00000e-30,2.69821e-09
2.11638e-03,1.04094e-10,1.14932e+01,1.14158e+01,1.14807e-08,9.28480e-16,2.93471e-08,1.02788e-05,0.00000e+00,1.32375e+04,2.46074e-17,4.71836e-01,5.28164e-01,1.99581e-11,1.00000e-30,1.00000e-30,1.00000e-30,1.00000e-30,1.00000e-30,1.00000e-30,2.69537e-09
2.22201e-03,1.05161e-10,1.13800e+01,1.12993e+01,1.10351e-08,9.00343e-16,2.81674e-08,9.96702e-06,0.00000e+00,1.27921e+04,2.40065e-17,4.71554e-01,5.28446e-01,2.02975e-11,1.00000e-30,1.00000e-30,1.00000e-30,1.00000e-30,1.00000e-30,1.00000e-30,2.69245e-09
2.32982e-03,1.06241e-10,1.12679e+01,1.11838e+01,1.06068e-08,8.73034e-16,2.70341e-08,9.66507e-06,0.00000e+00,1.23605e+04,2.34178e-17,4.71269e-01,5.28731e-01,2.06429e-11,1.00000e-30,1.00000e-30,1.00000e-30,1.00000e-30,1.00000e-30,1.00000e-30,2.68946e-09
2.43988e-03,1.07333e-10,1.11570e+01,1.10694e+01,1.01951e-08,8.46530e-16,2.59454e-08,9.37267e-06,0.00000e+00,1.19422e+04,2.28410e-17,4.70982e-01,5.29018e-01,2.09946e-11,1.00000e-30,1.00000e-30,1.00000e-30,1.00000e-30,1.00000e-30,1.00000e-30,2.68639e-09
2.55222e-03,1.08437e-10,1.10471e+01,1.09561e+01,9.79943e-09,8.20807e-16,2.48997e-08,9.08695e-06,0.00000e+00,1.15369e+04,2.22761e-17,4.70692e-01,5.29308e-01,2.13526e-11,1.00000e-30,1.00000e-30,1.00000e-30,1.00000e-30,1.00000e-30,1.00000e-30,2.68325e-09
2.66689e-03,1.09553e-10,1.09383e+01,1.08438e+01,9.41910e-09,7.95842e-16,2.38951e-08,8.80984e-06,0.00000e+00,1.11441e+04,2.17227e-17,4.70399e-01,5.29601e-01,2.17170e-11,1.00000e-30,1.00000e-30,1.00000e-30,1.00000e-30,1.00000e-30,1.00000e-30,2.68004e-09
2.78396e-03,1.10683e-10,1.08306e+01,1.07326e+01,9.05355e-09,7.71613e-16,2.29301e-08,8.54184e-06,0.00000e+00,1.07636e+04,2.11807e-17,4.70103e-01,5.29897e-01,2.20881e-11,1.00000e-30,1.00000e-30,1.00000e-30,1.00000e-30,1.00000e-30,1.00000e-30,2.67674e-09
